Loi,Groupe,Député,Vote
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Damien Abad,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Caroline Abadie,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Damien Adam,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. David Amiel,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Pieyre-Alexandre Anglade,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Philippe Ardouin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Antoine Armand,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Quentin Bataillon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Mounir Belhamiti,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Fanta Berete,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Benoît Bordat,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Florent Boudié,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Chantal Bouloux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Bertrand Bouyx,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Pascale Boyer,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Yaël Braun-Pivet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Maud Bregeon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Anthony Brosse,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Danielle Brulebois,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-René Cazeneuve,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Pierre Cazeneuve,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Émilie Chandler,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Yannick Chenevard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Claire Colomb-Pitollat,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. François Cormier-Bouligeon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Laurence Cristol,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Dominique Da Silva,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Frédéric Descrozaille,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Benjamin Dirx,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Nicole Dubré-Chirat,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Dunoyer,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Emmanuel,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Fait,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Marc Ferracci,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Marie Fiévet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Frei,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Luc Fugit,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Thomas Gassilloud,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Anne Genetet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Hadrien Ghomi,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Éric Girardin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Olga Givernet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Charlotte Goetschy-Bolognese,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Guillaume Gouffier Valente,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Carles Grelier,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Claire Guichard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Guillemard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Marie Guévenoux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Benjamin Haddad,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Yannick Haury,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Pierre Henriet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Laurence Heydel Grillere,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Alexandre Holroyd,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Servane Hugues,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Monique Iborra,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Alexis Izard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Michel Jacques,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Guillaume Kasbarian,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Brigitte Klinkert,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Daniel Labaronne,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Emmanuel Lacresse,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Virginie Lanlo,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Michel Lauzzana,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Pascal Lavergne,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Sandrine Le Feur,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Didier Le Gac,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Constance Le Grip,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Annaïg Le Meur,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Christine Le Nabour,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Nicole Le Peih,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Fabrice Le Vigoureux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Marie Lebec,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Vincent Ledoux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Mathieu Lefèvre,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Patricia Lemoine,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-François Lovisolo,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Sylvain Maillard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Jacqueline Maquet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Louis Margueritte,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Christophe Marion,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Sandra Marsaud,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Didier Martin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Denis Masséglia,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Graziella Melchior,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Ludovic Mendes,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Nicolas Metzdorf,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Paul Midy,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Laure Miller,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Benoit Mournet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Lysiane Métayer,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Karl Olive,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Nicolas Pacquot,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Didier Parakian,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Didier Paris,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Charlotte Parmentier-Lecocq,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Emmanuel Pellerin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Patrice Perrot,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Anne-Laurence Petel,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Béatrice Piron,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Pierre Pont,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Éric Poulliat,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Natalia Pouzyreff,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Rémy Rebeyrotte,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Robin Reda,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Véronique Riotton,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Stéphanie Rist,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Charles Rodwell,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Xavier Roseren,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-François Rousset,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Lionel Royer-Perreaut,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Thomas Rudigoz,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Laetitia Saint-Paul,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Mikaele Seo,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Freddy Sertin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Charles Sitzenstuhl,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Philippe Sorez,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Bertrand Sorre,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Violette Spillebout,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Bruno Studer,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Liliana Tanguy,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean Terlier,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Huguette Tiegna,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. David Valence,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Patrick Vignal,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Corinne Vignon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Stéphane Vojetta,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Lionel Vuibert,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Guillaume Vuilletet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Éric Woerth,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Caroline Yadan,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Jean-Marc Zulesi,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Belkhir Belhaddad,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Éric Bothorel,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Anne Brugnera,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Lionel Causse,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Mireille Clapot,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Fabienne Colboc,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Ingrid Dordain,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Stella Dupont,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Sophie Errante,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Raphaël Gérard,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Nadia Hai,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Sacha Houlié,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Caroline Janvier,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Amélia Lakrafi,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Gilles Le Gendre,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Alexandra Martin (Gironde),Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Michèle Peyron,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Cécile Rilhac,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Stéphane Travert,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Annie Vidal,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Éric Alauzet,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Stéphane Buchou,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Céline Calvez,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Eléonore Caroit,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Clara Chassaniol,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Christine Decodts,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Julie Delpech,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Joël Giraud,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Laurence Maillart-Méhaignerie,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Bastien Marchive,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Stéphane Mazars,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Marjolaine Meynier-Millefert,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Sophie Panonacle,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Astrid Panosyan-Bouvet,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Marie-Pierre Rixain,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,Mme Sarah Tanzilli,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Renaissance,M. Christopher Weissberg,Abstention
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Franck Allisio,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Bénédicte Auzanot,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Philippe Ballard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Christophe Barthès,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Romain Baubry,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. José Beaurain,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Christophe Bentz,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Pierrick Berteloot,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Bruno Bilde,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Emmanuel Blairy,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Sophie Blanc,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Frédéric Boccaletti,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Pascale Bordes,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Jorys Bovet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Jérôme Buisson,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Frédéric Cabrolier,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Victor Catteau,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Sébastien Chenu,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Roger Chudeau,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Caroline Colombier,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Annick Cousin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Nathalie Da Conceicao Carvalho,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Grégoire de Fournas,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Hervé de Lépinau,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Jocelyn Dessigny,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Edwige Diaz,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Sandrine Dogor-Such,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Nicolas Dragon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Christine Engrand,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Frédéric Falcon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Thibaut François,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Thierry Frappé,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Stéphanie Galzy,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Frank Giletti,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Yoann Gillet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Christian Girard,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. José Gonzalez,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Florence Goulet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Géraldine Grangier,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Daniel Grenon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Michel Guiniot,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Jordan Guitton,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Marine Hamelet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Timothée Houssin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Laurent Jacobelli,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Catherine Jaouen,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Alexis Jolly,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Hélène Laporte,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Laure Lavalette,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Marine Le Pen,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Julie Lechanteux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Gisèle Lelouis,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Katiana Levavasseur,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Christine Loir,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Aurélien Lopez-Liguori,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Marie-France Lorho,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Philippe Lottiaux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Alexandre Loubet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Matthieu Marchio,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Michèle Martinez,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Alexandra Masson,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Bryan Masson,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Kévin Mauvieux,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Nicolas Meizonnet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Pierre Meurin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Serge Muller,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Joëlle Mélin,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Yaël Ménaché,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Thomas Ménagé,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Julien Odoul,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Mathilde Paris,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Caroline Parmentier,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Kévin Pfeffer,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Lisette Pollet,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Stéphane Rambaud,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Angélique Ranc,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Julien Rancoule,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Laurence Robert-Dehault,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Béatrice Roullaud,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,Mme Anaïs Sabatini,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Alexandre Sabatou,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Emeric Salmon,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Philippe Schreck,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Emmanuel Taché de la Pagerie,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Jean-Philippe Tanguy,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Michaël Taverne,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Lionel Tivoli,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,Rassemblement National,M. Antoine Villedieu,Pour
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,La France insoumise - Nouvelle Union Populaire écologique et sociale,Mme Nadège Abomangoli,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,La France insoumise - Nouvelle Union Populaire écologique et sociale,M. Laurent Alexandre,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,La France insoumise - Nouvelle Union Populaire écologique et sociale,M. Gabriel Amard,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,La France insoumise - Nouvelle Union Populaire écologique et sociale,Mme Ségolène Amiot,Contre
Analyse du scrutin n°3213 - 16e législature - Assemblée nationale,La France insoumise - Nouvelle Union Populaire écologique et sociale,Mme Farida Amrani,Contre
